,Site Number,Site Name,Year,Average Daily Volume,Latitude,Longitude
508,432309,25 Street North of 145 Avenue,2016,100.0,53.6088888,-113.378626
511,534659,49 Street North of  92 Avenue,2015,2400.0,53.5286985,-113.4148956
512,112119,105 Street North of 114 Avenue,2018,200.0,53.5655414,-113.5010596
513,504584,Ellerslie Road SW West of  17 Street SW,2012,1500.0,53.4250033,-113.3809552
514,335169,159 Street North of 109 Avenue,2014,400.0,53.5547349,-113.5944542
515,113073,123 Street North of Jasper Avenue,2017,1000.0,53.5422104,-113.5341277
516,101788,107 Avenue West of 115 Street,2018,16800.0,53.5514118,-113.5203501
517,600021,Low Level Bridge,2015,41800.0,53.5376837,-113.4858611
519,308720,Stony Plain Road West of 182 Street,2015,35200.0,53.5413767,-113.6378914
522,414284,153 Avenue West of  37 Street,2015,20000.0,53.61415,-113.4015
523,260945,Towne Centre Boulevard North of Trelle Way,2015,9500.0,53.454851,-113.582744
524,311224,107 Avenue West of 152 Street,2016,22100.0,53.5510538,-113.5842559
525,330465,127 Street North of 118 Avenue,2017,17700.0,53.5708073,-113.5411424
526,303200,89A Avenue West of 140 Street,2018,500.0,53.522235,-113.5635895
530,315060,118 Avenue West of 178 Street,2012,4500.0,53.5704656,-113.6284935
531,227536,Wilson Lane West of Prestige Point,2011,200.0,53.4916202,-113.6058396
532,336065,170 Street North of  87 Avenue,2013,37300.0,53.52185,-113.6153814
535,540927,94 Street North of  94 Avenue,2013,1600.0,53.5311574,-113.4715349
536,237790,81 Avenue West of 109 Street,2017,400.0,53.5171126,-113.5134883
537,112164,106 Street Service Road North of 112 Avenue,2018,200.0,53.5618505,-113.5029212
538,420344,167 Avenue West of  82 Street,2016,25500.0,53.628754,-113.4693945
540,512172,31 Avenue West of Parsons Road,2017,1600.0,53.4626966,-113.4874619
541,534471,48 Street North of  92 Avenue,2014,2700.0,53.5286717,-113.4110016
542,252773,109 Street North of  75 Avenue,2016,35300.0,53.5120325,-113.5120404
543,100994,102A Avenue West of  96 Street,2018,2600.0,53.545251,-113.484665
544,515284,38 Avenue West of  50 Street,2015,6500.0,53.4705075,-113.418412
545,440761,94 Street north of 140 Avenue,2018,2800.0,53.6044547,-113.4858161
550,336065,170 Street North of  87 Avenue,2014,38400.0,53.52185,-113.6153814
551,101558,106 Avenue West of  97 Street,2015,5500.0,53.5501722,-113.4895663
554,421852,Schonsee Way West of  79 Street,2015,1100.0,53.6308925,-113.4668944
555,256667,Macewan Road SW North of Miles Place SW,2014,1800.0,53.4260536,-113.5348022
556,412104,149A Avenue West of  82 Street,2015,3300.0,53.6105322,-113.4680545
557,112087,105 Street North of  97 Avenue,2014,14200.0,53.5348029,-113.5010956
558,534807,50 Street North of  31 Avenue,2011,30100.0,53.463356,-113.420809
561,538567,Stanton Drive SW North of  11 Avenue SW,2011,5400.0,53.424119,-113.4552842
562,541035,95 Street North of  93 Avenue,2011,800.0,53.5299654,-113.4731537
563,515364,38 Avenue West of  76 Street,2011,6400.0,53.472537,-113.452543
564,318792,153 Avenue West of 134 Street,2013,7200.0,53.6146562,-113.5546952
565,110145,38 Street North of 112 Avenue,2016,2500.0,53.5654132,-113.3999669
566,505276,Easton Road SW West of  90 Street SW,2012,2700.0,53.4272646,-113.4729019
567,223786,Whitemud Drive West of Anthony Henday Drive West,2016,31000.0,53.5122517,-113.668981
568,303200,89A Avenue West of 140 Street,2015,500.0,53.522235,-113.5635895
570,420200,167 Avenue West of Cy Becker Boulevard,2016,8000.0,53.62701,-113.4004435
572,253251,James Mowatt Trail East of 127 Street SW,2015,3400.0,53.40406,-113.53822
573,100394,99 Avenue West of 109 Street,2017,4000.0,53.5372401,-113.5092884
574,226138,51 Avenue West of 111 Street,2015,9300.0,53.4882332,-113.5180208
575,307524,99 Avenue West of 148 Street,2012,600.0,53.537724,-113.576865
580,268823,Hemingway Road North of Hardy Point,2012,1200.0,53.4897742,-113.6814366
581,318202,Cumberland Road West of 127 Street,2011,9300.0,53.604319,-113.543593
582,210070,12 Avenue West of Twin Brooks Drive East,2013,4200.0,53.4429837,-113.5232549
583,401740,Fort Road West of  65 Street,2015,30700.0,53.5856351,-113.4420192
584,310124,Stony Plain Road West of 127 Street,2017,20900.0,53.547644,-113.541857
585,310148,Stony Plain Road West of 129 Street,2015,30600.0,53.547977,-113.545224
587,111739,97 Street North of 120 Avenue,2015,49700.0,53.5739741,-113.4922193
588,101006,102A Avenue West of 100 Street,2014,3900.0,53.54441,-113.491659
589,530435,12 Street North of  36A Avenue,2014,800.0,53.471653,-113.3597582
590,253313,111 Street North of   9 Avenue,2015,29200.0,53.4406749,-113.5181827
593,314044,114 Avenue West of 143 Street,2011,2400.0,53.56286,-113.5737518
595,333789,Mark Messier Trail North of 137 Avenue,2014,36300.0,53.601633,-113.576987
597,302340,87 Avenue West of 163 Street,2011,18000.0,53.519525,-113.604113
598,420224,167 Avenue West of Brintnell Boulevard,2014,8300.0,53.6286793,-113.4092659
599,538063,75 Street North of  88 Avenue,2016,45000.0,53.524149,-113.4428825
601,223822,Whitemud Drive West of Lewis Estates Boulevard,2014,17700.0,53.5122464,-113.6837119
607,219316,36A Avenue West of 106A Street,2016,1500.0,53.4712087,-113.5066084
608,263867,172 Street North of  71 Avenue,2017,3800.0,53.5063366,-113.6195363
609,110713,66 Street North of 118 Avenue,2018,6300.0,53.5711117,-113.4430534
610,111557,95 Street North of 113 Avenue,2018,10900.0,53.5634796,-113.4871741
611,600017,High Level Bridge,2015,27900.0,53.5304679,-113.5110241
612,336677,180 Street North of  96 Avenue,2017,1100.0,53.5319913,-113.6324325
613,251423,106 Street North of  35 Avenue,2014,10700.0,53.469198,-113.504142
617,102016,109 Avenue West of  36 Street,2016,100.0,53.5623419,-113.3982852
620,308916,102 Avenue West of 124 Street,2015,3300.0,53.5430173,-113.5368077
621,336069,170 Street North of  90 Avenue,2015,54800.0,53.530141,-113.615251
624,337397,Ray Gibbons Drive North of Anthony Henday Drive,2014,21000.0,53.5924839,-113.6498884
625,516392,41 Avenue West of  41 Street,2013,1000.0,53.4770431,-113.4045175
627,308208,100 Avenue West of 178 Street,2013,25100.0,53.537812,-113.630368
628,316652,128 Avenue West of St.Albert Trail,2013,5400.0,53.5850586,-113.5622225
630,401092,127 Avenue West of  47 Street,2013,1400.0,53.5855284,-113.4161637
631,600011,Cloverbar Bridge,2015,78200.0,53.5714589,-113.3720969
632,523360,88 Avenue West of  99 Street,2016,200.0,53.5235288,-113.4870752
634,537979,75 Street North of Whitemud Drive Westbound,2014,41100.0,53.486884,-113.442649
636,541719,99 Street North of  48 Avenue,2018,21900.0,53.4869276,-113.4860949
637,400188,Yellowhead Trail West of Meridian Street,2013,72500.0,53.5702413,-113.3537238
640,263531,170 Street North of Anderson Way,2014,7200.0,53.4296223,-113.6146799
641,420320,167 Avenue West of  66 Street,2011,10700.0,53.628658,-113.4439347
642,507012,Anthony Henday Drive South East of  17 Street,2013,46500.0,53.442748,-113.3569433
644,112711,116 Street North of 106 Avenue,2016,10400.0,53.5506531,-113.5212944
646,333937,149 Street North of 116 Avenue,2017,24600.0,53.5694242,-113.5779876
649,311264,107 Avenue West of 159 Street,2014,22100.0,53.5513049,-113.6001559
651,431153,Meridian Street North of 227 Avenue,2012,100.0,53.687217,-113.344387
652,333849,149 Street North of  97 Avenue,2017,27900.0,53.5356153,-113.5778797
653,434337,50 Street North of 131 Avenue,2017,31800.0,53.5935034,-113.4150485
656,443345,Castle Downs Road North of 157 Avenue,2016,4800.0,53.6215537,-113.5192079
658,315176,119 Avenue West of 126 Street,2017,700.0,53.5719342,-113.5404319
659,331713,135 Street North of 111 Avenue,2011,5300.0,53.5600236,-113.5555136
660,443309,113A Street North of 136 Avenue,2016,16300.0,53.5986325,-113.5166898
661,318012,137 Avenue West of 170 Street,2011,9700.0,53.5995024,-113.6202557
662,257735,Magrath Boulevard North of McClung Crescent,2015,800.0,53.4474562,-113.5534091
665,330689,St Albert Trail North of 113 Avenue,2011,1700.0,53.5625395,-113.5445688
666,407476,137 Avenue West of  70 Street,2013,22500.0,53.5997212,-113.4526132
667,308308,Summit Drive West of 146 Street,2015,100.0,53.540168,-113.573409
668,266069,Ormsby Road East North of  62B Avenue,2012,1500.0,53.4976176,-113.6481347
671,102762,112 Avenue West of  69 Street,2018,18200.0,53.5634316,-113.4438718
672,537435,Lakewood Road East North of  28 Avenue,2013,1000.0,53.459211,-113.4414436
673,113069,122 Street North of 117 Avenue,2017,900.0,53.5693067,-113.532428
674,532475,34 Street North of  44 Avenue,2015,24000.0,53.4841129,-113.3936986
675,250109,Gateway Boulevard North of  58 Avenue,2016,32000.0,53.4963069,-113.4919585
677,221200,40 Avenue West of Terwilleger Drive NB,2016,9100.0,53.4766791,-113.574813
679,333837,149 Street North of  94 Avenue,2016,26300.0,53.5311681,-113.5779786
680,305680,95 Avenue West of 149 Street,2015,7600.0,53.5315102,-113.5789769
681,523276,88 Avenue West of  90 Street West,2017,3400.0,53.523486,-113.4662559
682,541375,97 Street North of  66 Avenue,2011,1000.0,53.5033681,-113.4795209
683,252683,109 Street North of  60 Avenue,2016,3100.0,53.4979011,-113.5119324
685,223306,Whitemud CD Eastbound West of 106 Street,2013,1900.0,53.4809715,-113.5052864
686,540487,91 Street SW North of Ellwood Drive SW,2011,15600.0,53.4316262,-113.4679556
687,335709,165 Street North of  89 Avenue,2016,4500.0,53.524549,-113.607335
689,518552,58 Avenue West of  88 Street,2011,4700.0,53.4939154,-113.4644393
691,512536,Silver Berry Road West of  22 Street,2017,1700.0,53.4637139,-113.3744441
694,332973,142 Street North of McQueen Road,2011,14100.0,53.557535,-113.565803
695,539687,Lakewood Road West North of  27 Avenue,2015,3900.0,53.4581668,-113.4598617
696,261441,Terwillegar Drive North of  23 Avenue,2017,31100.0,53.4648168,-113.5846426
697,540541,91 Street South of  63 Avenue,2012,19000.0,53.498757,-113.4671732
698,443277,113A Street North of 127 Avenue,2012,9800.0,53.5865053,-113.5165999
699,112195,107 Street North of 100 Avenue,2016,4500.0,53.5398589,-113.5046929
700,504552,Ellerslie Road SW West of Meridian Street SW,2011,1200.0,53.4249014,-113.362654
702,112249,109 Street North of  97 Avenue,2018,35700.0,53.535929,-113.508412
705,256709,122 Street North of Rainbow Valley Road,2015,24300.0,53.4810946,-113.5410794
706,313452,111 Avenue West of 156 Street,2017,25800.0,53.558936,-113.592957
707,404496,132 Avenue West of 109 Street,2016,8000.0,53.592105,-113.511141
709,104422,118 Avenue West of  92 Street,2018,14100.0,53.5704175,-113.4835049
710,101322,104 Avenue West of 118 Street,2017,28800.0,53.5462289,-113.5260158
712,252833,109 Street North of  84 Avenue,2018,31600.0,53.520508,-113.5120583
714,507876,13 Avenue West of  49A Street,2018,6100.0,53.4424427,-113.4178634
715,102822,112 Avenue West of  88 Street,2012,18600.0,53.561124,-113.4773715
716,409976,144 Avenue West of  64 Street,2012,6600.0,53.6048496,-113.440967
718,425968,Anthony Henday Drive North West of Manning Drive,2014,26300.0,53.6421,-113.42086
719,524624,93A Avenue West of  58 Street,2017,500.0,53.5304198,-113.4261821
726,105788,122 Avenue West of  96 Street,2017,5700.0,53.5766601,-113.4914009
728,105740,122 Avenue West of  85 Street,2015,5900.0,53.5767241,-113.4717777
729,111687,97 Street North of 101A Avenue,2016,10800.0,53.5435303,-113.4860589
730,268481,Guardian Road North of Granville Drive,2015,21100.0,53.5111715,-113.6774256
731,111609,95A Street North of 122 Avenue,2015,300.0,53.5773328,-113.4888648
732,425236,180 Avenue West of  82 Street,2016,2300.0,53.6420953,-113.4686121
733,433607,37 Street North of 153 Avenue,2015,5700.0,53.6145709,-113.3996162
734,330237,126 Street North of 109 Street,2017,400.0,53.5548204,-113.5394697
735,250109,Gateway Boulevard North of  58 Avenue,2013,32700.0,53.4963069,-113.4919585
736,541695,99 Street North of  42 Avenue,2015,24500.0,53.4793392,-113.4861399
739,532487,34 Street North of Whitemud Drive Westbound,2018,15400.0,53.4884312,-113.3939235
741,334545,154 Street North of 105 Avenue,2016,400.0,53.5487349,-113.5868369
743,257201,127 Street SW North of  41 Avenue SW,2012,1300.0,53.39632,-113.540868
744,230434,Callingwood Road West of 170 Street,2015,10900.0,53.4975427,-113.6178905
745,336489,178 Street North of Whitemud Drive,2016,12600.0,53.5138614,-113.6300044
746,102822,112 Avenue West of  88 Street,2013,18900.0,53.561124,-113.4773715
748,100514,100 Avenue West of 119 Street,2013,1500.0,53.540217,-113.529694
749,505840,2 Avenue SW West of  65 Street SW,2011,3000.0,53.4308493,-113.4417044
750,541263,Parsons Road North of  21 Avenue,2014,19800.0,53.452046,-113.4791881
751,310100,Stony Plain Road West of 124 Street,2016,34600.0,53.546977,-113.5365289
752,315532,121A Avenue West of 156 Street,2017,3400.0,53.5735736,-113.59208
755,330401,127 Street North of 106 Avenue,2017,800.0,53.5500066,-113.5411604
756,540541,91 Street South of  63 Avenue,2018,19700.0,53.498757,-113.4671732
757,237940,82 Avenue West of 107 Street,2016,24700.0,53.5181179,-113.5076876
758,537587,Hardisty Drive North of 106 Avenue,2015,600.0,53.5511072,-113.4357869
759,309844,104 Avenue West of 137 Street,2013,500.0,53.5461915,-113.558904
760,414396,153 Avenue West of  97 Street,2015,25000.0,53.6140854,-113.4955738
761,419244,165 Avenue West of  66 Street,2015,2300.0,53.6267647,-113.443548
763,112781,116 Street North of 111 Avenue,2014,4600.0,53.5594147,-113.5213393
764,510280,23 Avenue West of Mill Woods Road,2017,22000.0,53.4523352,-113.4563993
765,408732,140 Avenue West of  90 Street,2015,2600.0,53.6028111,-113.4810497
766,416880,160 Avenue West of  82 Street,2012,5300.0,53.620764,-113.468856
767,217354,32A Avenue West of 116 Street,2018,200.0,53.4650952,-113.5355666
769,251837,107 Street North of  57 Avenue,2017,500.0,53.4929952,-113.5078135
771,105072,120 Avenue West of  68 Street,2014,500.0,53.5735522,-113.4468215
772,532099,32 Street North of  21 Avenue,2013,3300.0,53.4520567,-113.3864501
773,111873,101 Street North of 102 Avenue,2015,14200.0,53.543883,-113.4936852
775,539279,83 Street North of  82 Avenue,2018,20900.0,53.519265,-113.455143
776,100468,100 Avenue West of 109 Street,2011,8700.0,53.5388328,-113.5094053
777,250817,105 Street North of  14 Avenue,2013,1800.0,53.4449281,-113.4983976
778,260369,Carter Crest Way North of Lawrence Court,2014,1000.0,53.4615829,-113.5762789
779,540271,89 Street North of  81 Avenue,2013,1700.0,53.5174709,-113.4643673
783,412772,151 Avenue West of Victoria Trail,2017,1800.0,53.6135519,-113.381297
784,500180,41 Avenue SW West of  66 Street SW,2018,1600.0,53.3958573,-113.452802
785,223834,Whitemud Drive West of 215 Street,2012,9300.0,53.5122357,-113.6910953
787,402356,129 Avenue West of  65 Street,2011,4200.0,53.587621,-113.442244
788,700023,Anthony Henday Drive West North of  87 Avenue,2013,96100.0,53.5320287,-113.6591604
789,434837,54 Street North of 153 Avenue,2012,2300.0,53.6165768,-113.4244374
792,336101,170 Street North of 103 Avenue,2013,28400.0,53.5457747,-113.6157771
793,438969,82 Street North of 141 Avenue,2017,32100.0,53.605762,-113.467443
794,216634,31 Avenue West of 112A Street,2013,1800.0,53.4638798,-113.5232009
796,230860,63 Avenue S West of 105A Street,2015,600.0,53.4998804,-113.5034968
797,254903,114 Street North of  76 Avenue,2015,37400.0,53.5136208,-113.5258629
798,310764,106 Avenue West of 154 Street,2013,200.0,53.549515,-113.5877183
800,309708,103 Avenue West of 215 Street,2017,1000.0,53.5440059,-113.6906726
801,102604,111 Avenue West of 107 Street,2015,24100.0,53.5589446,-113.5056372
802,212536,Tomlinson Common West of Tomlinson Way,2014,2000.0,53.4499841,-113.5857577
803,314996,118 Avenue West of 152 Street,2018,14700.0,53.5704282,-113.5853171
805,304464,92A Avenue West of Park Drive,2017,300.0,53.5277362,-113.5704333
806,250145,Gateway Boulevard North of  76 Avenue,2017,27800.0,53.51308,-113.494528
809,335501,163 Street North of  88 Avenue,2015,8400.0,53.5230583,-113.602656
810,101538,106 Avenue West of  90 Street,2018,600.0,53.5525658,-113.4763733
812,316684,128 Avenue West of 148 Street,2016,4900.0,53.585459,-113.5758112
813,414428,153 Avenue West of Castle Downs Road,2014,19600.0,53.6142401,-113.5199184
815,111943,102 Street North of 100 Avenue,2018,5600.0,53.5393031,-113.4955648
817,202708,20 Avenue SW West of 125 Street SW,2016,800.0,53.4139305,-113.5394337
818,252761,109 Street North of 73 Avenue,2018,31600.0,53.5098772,-113.5119774
819,700001,Highway 16 East West of Highway 21 NE,2011,37300.0,53.570138,-113.254686
820,102588,111 Avenue West of 102 Street,2018,18700.0,53.5589179,-113.4987754
821,300284,80 Avenue West of 139 Street,2015,500.0,53.5147224,-113.56287
823,258983,Rabbit Hill Road North of Cormack Crescent,2014,16100.0,53.4641904,-113.5704063
824,407380,137 Avenue West of  40 Street,2016,23300.0,53.5978693,-113.405075
826,265547,184 Street North of  73 Avenue,2013,2000.0,53.5073742,-113.642424
827,536767,66 Street North of  34 Avenue,2011,31100.0,53.4697313,-113.4379542
828,213436,23 Avenue West of 119 Street,2016,28000.0,53.4546594,-113.5385164
829,316415,118A Avenue N West of 199 Street,2017,700.0,53.5716244,-113.6865717
830,408184,139 Avenue West of  40 Street,2013,5300.0,53.6003029,-113.4052639
833,110815,73 Street North of 111 Avenue,2018,1100.0,53.5620214,-113.4485393
835,336793,182 Street North of  91 Avenue,2013,6000.0,53.5272604,-113.6392494
836,265499,184 Street North of  66 Avenue,2017,4700.0,53.5010894,-113.6396811
837,338125,215 Street North of Webber Greens Drive,2017,15200.0,53.5286664,-113.6889729
838,517792,Whitemud Drive West of  34 Street,2015,56700.0,53.4877088,-113.4050211
843,250505,104 Street North of Calgary Trail,2018,28700.0,53.4945039,-113.4976422
844,406296,135 Avenue West of  87 Street,2016,1500.0,53.5967859,-113.4763283
845,518684,60 Avenue West of  99 Street,2017,600.0,53.4957986,-113.4870032
846,334829,156 Street North of 112 Avenue,2012,21200.0,53.561243,-113.5904
848,317940,137 Avenue West of 135 Street,2015,32000.0,53.5994971,-113.5543714
